"from","to","weight","type","year"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Unclassified-Ochrophyte__Chrysophyceae_Clade-H_X_sp.__ASV_160",-0.0575437388037942,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Dinophysis__ASV_188",0.0283139175440525,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Eucampia__ASV_199",-0.0351315162242437,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Unclassified-Ochrophyte__Chrysophyceae_XXX_sp.__ASV_207",0.034645591177833,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Syndiniales__Dino-Group-II-Clade-4_X_sp.__ASV_213",0.029031580582821,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Unclassified-Ochrophyte__MOCH-2_XXX_sp.__ASV_235",-0.033211798078822,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Detonula_pumila__ASV_243",-0.0412825043822218,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Chaetoceros_debilis__ASV_246",-0.0208187448854074,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Syndiniales__Dino-Group-II-Clade-14_X_sp.__ASV_258",0.0357823048470742,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Unclassified-Ochrophyte__Chrysophyceae_Clade-H_X_sp.__ASV_268",-0.0486029215737286,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Actinocyclus_curvatulus__ASV_274",-0.0301192731139747,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Ciliates__Ciliophora__ASV_317",0.0608695128672828,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Dinophyceae__ASV_347",0.056757632427256,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Rhizosolenia_delicatula__ASV_383",-0.0380547889702595,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Pleurosigma_sp.__ASV_390",-0.0636385864742906,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Balechina_pachydermata__ASV_397",0.0479175379956612,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","MAST__MAST-2C_XX_sp.__ASV_487",-0.0199403031251749,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Gymnodiniales__ASV_489",0.0441252415128717,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Rhizosolenia_delicatula__ASV_490",-0.0465272945163735,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Thalassiosira__ASV_492",-0.0845471943405048,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Gonyaulax_ellegaardiae__ASV_493",0.0281264105787234,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Choanoflagellida__Stephanoecidae_Group_H_X_sp.__ASV_517",-0.0264786297854018,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Hacrobia-other__Pterocystida__ASV_567",-0.0798128238905542,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Asteromphalus_sp.__ASV_578",-0.0778668447551119,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Archaeplastids__Mantoniella_squamata__ASV_616",0.0279674064861732,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Ciliates__Eutintinnus_apertus__ASV_626",0.037724313021229,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Eucampia__ASV_630",-0.046329465892575,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Choanoflagellida__Stephanoecidae_Group_H_X_sp.__ASV_638",-0.0696681361264871,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Diatoms__Pseudo-nitzschia_pungens__ASV_651",-0.0291187994811607,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Unclassified-Ochrophyte__Chrysophyceae_Clade-H_X_sp.__ASV_653",-0.0530946320266634,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Cercozoa__Protaspa-lineage_X_sp.__ASV_656",-0.0850162995165823,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Unclassified-Ochrophyte__Chrysophyceae_Clade-H_X_sp.__ASV_692",-0.0321265424759812,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","MAST__MAST-8A_XX_sp.__ASV_742",0.0489284516575171,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Cercozoa__Novel-clade-2_X_sp.__ASV_753",-0.0196561192229319,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Dinophyceae__Alexandrium_fundyense__ASV_788",0.0273737450245495,"positive","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Cercozoa__Protaspa-lineage_X_sp.__ASV_793",-0.0377327377419072,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","MAST__MAST-12A_XX_sp.__ASV_917",-0.0435021821015003,"negative","2018"
"Dinophyceae__Akashiwo_sanguinea__ASV_2","Hacrobia-other__Picozoa_XXXX_sp.__ASV_1023",0.0294127540174108,"positive","2018"
"Dinophyceae__Gyrodinium_dominans__ASV_3","Dinophyceae__Dinophyceae__ASV_38",0.0583807443212682,"positive","2018"
"Dinophyceae__Gyrodinium_dominans__ASV_3","Dinophyceae__Dinophyceae__ASV_132",0.0187340383771778,"positive","2018"
"Dinophyceae__Gyrodinium_dominans__ASV_3","Dinophyceae__Gymnodinium__ASV_388",0.0382345776213543,"positive","2018"
"Dinophyceae__Gyrodinium_dominans__ASV_3","Haptophytes__Haptolina__ASV_429",-0.0105586189819253,"negative","2018"
"Dinophyceae__Gyrodinium_dominans__ASV_3","Dinophyceae__Dinophyceae__ASV_648",0.0122797241822566,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Diatoms__Raphid-pennate__ASV_26",0.0539104064295119,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Diatoms__Thalassiosira_concaviuscula__ASV_48",0.0812568528776223,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Haptophytes__Syracosphaerales__ASV_54",0.0753777676056407,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Haptophytes__Chrysochromulina_sp.__ASV_71",0.0251880322384981,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Archaeplastids__Ostreococcus_lucimarinus__ASV_98",0.116112242181897,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Diatoms__Chaetoceros_cinctus__ASV_101",-0.0477422650795728,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Unclassified-Ochrophyte__Chrysophyceae_Clade-H_X_sp.__ASV_111",-0.0526511509309954,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Archaeplastids__Bathycoccus_prasinos__ASV_113",0.0827093046698936,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Cryptophytes__Cryptomonadales_X__ASV_118",0.0264430618355565,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Haptophytes__Haptolina__ASV_141",0.0356430624632955,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Ciliates__Strombidinopsis_sp.__ASV_144",-0.0437809085676582,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Haptophytes__Phaeocystis_cordata__ASV_148",0.0446743909067303,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Diatoms__Odontella__ASV_177",0.0718706080337609,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Syndiniales__Dino-Group-II-Clade-8_X_sp.__ASV_226",-0.0726519100624796,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Syndiniales__Dino-Group-III_XX_sp.__ASV_253",0.0307309950527369,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Diatoms__Thalassiosira_concaviuscula__ASV_264",0.0676104573217041,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Cercozoa__Cryothecomonas-lineage__ASV_312",-0.0358109660089929,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Pelagophytes__Pelagomonas_calceolata__ASV_315",0.0594130088593317,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Unclassified-Ochrophyte__Chrysophyceae_Clade-H_X_sp.__ASV_319",-0.0418993704715171,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Unclassified-Ochrophyte__Paraphysomonas_imperforata__ASV_355",0.0425552602227418,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Haptophytes__Chrysochromulina_sp.__ASV_363",-0.0545550141523679,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Archaeplastids__Ostreococcus_lucimarinus__ASV_380",0.0752705458240895,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Syndiniales__Dino-Group-II-Clade-8_X_sp.__ASV_409",-0.0245327324805398,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Ciliates__Strombidiida__ASV_414",-0.0257847819774356,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Archaeplastids__Ostreococcus_lucimarinus__ASV_423",0.0851746964839611,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Dinophyceae__Dinophyceae__ASV_425",-0.0818801392935846,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Dinophyceae__Archaeperidinium__ASV_460",-0.038647725803506,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Choanoflagellida__Choanoflagellida__ASV_472",0.06587492327211,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Diatoms__Thalassiosira__ASV_482",0.0636837269306955,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Syndiniales__Dino-Group-III_XX_sp.__ASV_491",0.0436789712518522,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Ciliates__Strombidiida_B_XX_sp.__ASV_502",-0.0338822845208272,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Cercozoa__Protaspa-lineage_X_sp.__ASV_535",0.0635439634939057,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Diatoms__Chaetoceros_didymus_2__ASV_574",-0.0380941617752768,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Ciliates__Askenasia_sp.__ASV_577",-0.0453035809123231,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Unclassified-Ochrophyte__MOCH-2_XXX_sp.__ASV_602",0.0154695450659946,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Diatoms__Skeletonema__ASV_606",0.0379605032219394,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Choanoflagellida__Stephanoecidae_Group_D_X_sp.__ASV_622",0.060207135375051,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Archaeplastids__Dolichomastigaceae-B_sp.__ASV_641",-0.0492763223275595,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Unclassified-Ochrophyte__Chrysophyceae_Clade-H_X_sp.__ASV_667",0.0413197275831916,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Dinophyceae__Archaeperidinium__ASV_703",-0.0565192804016328,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Haptophytes__Chrysochromulina__ASV_867",0.0419742171197131,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Dinophyceae__Protoperidinium_sp.__ASV_879",-0.0295360461749885,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Dinophyceae__Protoperidinium_sp.__ASV_902",-0.0455364718530077,"negative","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Cercozoa__Cercozoa_XXXX_sp.__ASV_909",0.0726351210559756,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Diatoms__Thalassiosira__ASV_953",0.0381411892014796,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Telonemia__Telonemia-Group-1_X_sp.__ASV_1013",0.0372623643265623,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Syndiniales__Dino-Group-I-Clade-1_X_sp.__ASV_1040",0.0131820962426404,"positive","2018"
"Archaeplastids__Ostreococcus_lucimarinus__ASV_4","Ciliates__Askenasia_sp.__ASV_1055",-0.0636377456963437,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Dinophyceae__Gyrodinium_dominans__ASV_11",0.0235886221444961,"positive","2018"
"Dinophyceae__Gyrodinium__ASV_5","Haptophytes__Syracosphaerales__ASV_54",-0.0190295109435872,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Archaeplastids__Bathycoccus_prasinos__ASV_113",-0.0334981016317427,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Haptophytes__Chrysochromulina_sp.__ASV_117",-0.0338485181958532,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Diatoms__Minidiscus_trioculatus__ASV_119",-0.0133687808032237,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Dinophyceae__Dinophyceae__ASV_215",0.0220002955609163,"positive","2018"
"Dinophyceae__Gyrodinium__ASV_5","Syndiniales__Dino-Group-II-Clade-17_X_sp.__ASV_254",0.0264630591443162,"positive","2018"
"Dinophyceae__Gyrodinium__ASV_5","Unclassified-Ochrophyte__Paraphysomonas_imperforata__ASV_355",-0.0541203975332312,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Ciliates__Askenasia_sp.__ASV_407",0.0292709136444885,"positive","2018"
"Dinophyceae__Gyrodinium__ASV_5","Pelagophytes__Aureococcus_anophagefferens__ASV_835",-0.0319537056781898,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Haptophytes__Chrysochromulina__ASV_867",-0.0449041028585438,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Diatoms__Delphineis_sp.__ASV_869",-0.0305461834474643,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Archaeplastids__Pyramimonas__ASV_870",-0.0286053454543486,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Diatoms__Thalassiosira__ASV_953",-0.0302105535039719,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Choanoflagellida__Stephanoecidae_Group_D_X_sp.__ASV_956",-0.0177447426283067,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Telonemia__Telonemia-Group-1_X_sp.__ASV_1013",-0.0478967806122569,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Choanoflagellida__Stephanoecidae_Group_H_X_sp.__ASV_1017",-0.0327129027479091,"negative","2018"
"Dinophyceae__Gyrodinium__ASV_5","Haptophytes__Syracosphaerales__ASV_1027",-0.0526892303029834,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Dinophyceae__Prorocentrum__ASV_10",-0.0558877807155767,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Pseudo-nitzschia_sp.__ASV_17",0.0635649913148889,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Pseudo-nitzschia_sp.__ASV_21",0.063446180569109,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Cerataulina_pelagica__ASV_55",0.0439300083632524,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Haptophytes__Chrysochromulina_sp.__ASV_59",-0.0507002845248059,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Dinophyceae__Heterocapsa_sp.__ASV_94",-0.0513743070552329,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Thalassiosira_rotula__ASV_105",0.111665477222546,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Unclassified-Ochrophyte__Chrysophyceae_Clade-H_X_sp.__ASV_122",0.0478164615880082,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Unclassified-Ochrophyte__Chrysophyceae_Clade-H_X_sp.__ASV_160",0.0475824559547874,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Hacrobia-other__Picozoa_XXXX_sp.__ASV_181",-0.0417543564457352,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Skeletonema__ASV_184",0.0344828913898231,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Thalassiosira__ASV_198",0.0326709231574122,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Unclassified-Ochrophyte__Chrysophyceae_XXX_sp.__ASV_207",-0.0622031834308444,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Syndiniales__Dino-Group-II-Clade-4_X_sp.__ASV_213",-0.0480161535669278,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Dinophyceae__Dinophyceae__ASV_218",-0.0300988633672236,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Hacrobia-other__Picozoa_XXXX_sp.__ASV_239",-0.0775787136208733,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Chaetoceros__ASV_245",0.0381960601103414,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Choanoflagellida__Stephanoecidae_Group_D_X_sp.__ASV_267",0.0690613376600818,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Actinocyclus_curvatulus__ASV_274",0.0979409275152232,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","MAST__MAST-3J_XX_sp.__ASV_283",-0.0679929031468193,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Thalassiosira__ASV_289",0.0723367279508379,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Thalassiosira_delicatula__ASV_302",0.0220480917680284,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","MAST__MAST-10_XXX_sp.__ASV_341",-0.0696086718180036,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Hacrobia-other__Picozoa_XXXX_sp.__ASV_352",-0.0685595317854035,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Thalassiosira_delicatula__ASV_426",0.0630674091588013,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Hacrobia-other__Pterocystida_XX_sp.__ASV_450",-0.0690552718497754,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Dinophyceae__Dinophyceae__ASV_477",-0.0503057291767185,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Rhizosolenia_delicatula__ASV_490",0.0437847271107966,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Thalassiosira__ASV_492",0.0372574869834248,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Dinophyceae__Gonyaulax_ellegaardiae__ASV_493",-0.0414205532841158,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Cercozoa__Filosa-Imbricatea_XXX_sp.__ASV_505",0.0814400509040042,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Hacrobia-other__Picozoa_XXXX_sp.__ASV_542",-0.0370953073773703,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Bacteriastrum_mediterraneum__ASV_559",-0.0462896196899146,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Asteromphalus_sp.__ASV_578",0.0260250683193264,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Pseudo-nitzschia_sp.__ASV_581",0.0211016448214054,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Pseudo-nitzschia__ASV_610",0.0174997544592573,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Ciliates__Eutintinnus_apertus__ASV_626",-0.0306793903404847,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Choanoflagellida__Stephanoecidae_Group_H_X_sp.__ASV_638",0.0904928168285165,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Cercozoa__Protaspa-lineage_X_sp.__ASV_656",0.0767083741137766,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Cylindrotheca_closterium__ASV_710",0.0454475907632351,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Cercozoa__Pseudopirsonia__ASV_728",0.0577969114122445,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Cercozoa__Novel-clade-2_X_sp.__ASV_753",0.0363618915332702,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Archaeplastids__Dolichomastigaceae-B_sp.__ASV_782",-0.0600583919852912,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Dinophyceae__Alexandrium_fundyense__ASV_788",-0.0556338555834556,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Diatoms__Bacillariophyta_X__ASV_842",-0.0619725707897508,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","MAST__MAST-2D_XX_sp.__ASV_844",0.0450696264175496,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Haptophytes__Haptolina__ASV_847",0.0225081974300827,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Choanoflagellida__Choanoflagellida_XX_Clade-3_X_sp.__ASV_859",0.033857133726852,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","MAST__MAST-12A_XX_sp.__ASV_917",0.0566750915573186,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Cercozoa__Protaspa-lineage_X_sp.__ASV_940",0.043643275790734,"positive","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Cercozoa__Cryomonadida__ASV_959",-0.0451025544919824,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Hacrobia-other__Picozoa_XXXX_sp.__ASV_1023",-0.0394397243431219,"negative","2018"
"Diatoms__Thalassiosira_delicatula__ASV_6","Choanoflagellida__Choanoflagellatea_X_Group_L_X_sp.__ASV_1042",-0.0387925659145868,"negative","2018"
"Diatoms__Rhizosolenia_delicatula__ASV_7","Dinophyceae__Prorocentrum__ASV_10",-0.0709358890661097,"negative","2018"
"Diatoms__Rhizosolenia_delicatula__ASV_7","Diatoms__Pseudo-nitzschia_sp.__ASV_17",0.0525828746680717,"positive","2018"
"Diatoms__Rhizosolenia_delicatula__ASV_7","Diatoms__Pseudo-nitzschia_sp.__ASV_21",0.0393934811319074,"positive","2018"
"Diatoms__Rhizosolenia_delicatula__ASV_7","Diatoms__Guinardia__ASV_23",0.0538717346684515,"positive","2018"
"Diatoms__Rhizosolenia_delicatula__ASV_7","Diatoms__Rhizosolenia_delicatula__ASV_29",0.110104552464625,"positive","2018"
"Diatoms__Rhizosolenia_delicatula__ASV_7","Diatoms__Cerataulina_pelagica__ASV_55",0.0856973861426973,"positive","2018"
"Diatoms__Rhizosolenia_delicatula__ASV_7","Diatoms__Eucampia__ASV_58",0.0568430915798394,"positive","2018"
"Diatoms__Rhizosolenia_delicatula__ASV_7","Haptophytes__Chrysochromulina_sp.__ASV_59",-0.023431696361598,"negative","2018"
"Diatoms__Rhizosolenia_delicatula__ASV_7","Ciliates__Pseudotontonia__ASV_60",-0.0697386320349757,"negative","2018"
